product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-65B593846C,colet negros,,,Paquete,3.0,3.0,6.0,3.0,3.0,1,2.0
SKU-73ECB72794,Colores Jumbo,Layconsa,Colores,unidad,10.0,2.0,30.0,20.6667,9.3333,1,15.0
SKU-24D54B3207,Colores Largos x 12,Faber Castell,Colores,unidad,20.0,4.0,32.0,23.3333,8.6667,1,8.0
SKU-3E4604AF45,Compas,Layconsa,Compas,Unidad,11.0,7.0,24.5,8.1667,16.3333,1,3.5
SKU-95A43F219B,Cordones,,,Unidad,5.0,1.0,3.5,0.0,3.5,1,3.5
SKU-F3BED90DF2,Corrector,,,unidad,0.0,4.0,12.5,8.0,4.5,2,2.0|3.5
SKU-CE0CB129E5,Corrector 9ML,Faber Castell,Corector,Unidad,4.0,8.0,24.0,14.6667,9.3333,1,3.0
SKU-826C40E118,Corrector Oval de 2 pares,Oval,Corector,Unidad,25.0,4.0,8.0,2.4828,5.5172,1,2.0
SKU-54906A7627,Crayones Jumbo,Layconsa,crayones,Unidad,52.0,2.0,10.0,6.1667,3.8333,1,5.0
SKU-59973D5BF3,Crema Baselina,,,Unidad,4.0,1.0,1.0,0.5,0.5,1,1.0
SKU-9E86C13A28,Crepe con diseño,,,unidad,27.0,3.0,6.0,3.6,2.4,1,2.0
SKU-833F6730BA,cuaderno arcoiris triple reglon,arcoiris,cuadernos,Unidad,0.0,6.0,24.0,13.8,10.2,1,4.0
SKU-3393692610,cuaderno layconsa estudiante # 100 h,Layconsa,cuadernos,Unidad,25.0,2.0,10.0,8.0,2.0,1,5.0
SKU-CFD9211956,cuaderno layconsa puppy # 100 h,Layconsa,cuadernos,Unidad,14.0,4.0,20.0,17.2,2.8,1,5.0
SKU-EF1D25CD8B,cuaderno layconsa teens # 100 h,Layconsa,cuadernos,Unidad,40.0,22.0,110.0,79.2,30.8,1,5.0
