sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0177,CLI-2025,clients-2025,SKU-9E86C13A28,Crepe con diseño,,,unidad,3.0,2.0,6.0,3.6,2.4,SEMANA-1-A
VENTA-2025-0178,CLI-2025,clients-2025,SKU-9F897FBDE0,Tomatodo Grande,Artesco,,Unidad,1.0,15.0,15.0,12.0,3.0,SEMANA-1-A
VENTA-2025-0179,CLI-2025,clients-2025,SKU-9FB3EB5C65,papel lustre blanco y surtido a color,,Papel,unidad,19.0,0.5,9.5,5.7,3.8,SEMANA-2-A
VENTA-2025-0180,CLI-2025,clients-2025,SKU-9FCECC1704,Papel Cometa,,Papel,Unidad,2.0,0.5,1.0,0.4,0.6,SEMANA-3-A
VENTA-2025-0181,CLI-2025,clients-2025,SKU-9FD0B9F742,Juego de reglas 20 cm,Layconsa,Regla,Unidad,7.0,3.5,24.5,15.6667,8.8333,"SEMANA-1-A,SEMANA-1-B"
VENTA-2025-0182,CLI-2025,clients-2025,SKU-A292B4DE9C,Toalla sin diseño,,Toallas,Unidad,10.0,4.0,40.0,18.6,21.4,"SEMANA-1-A,SEMANA-1-B,SEMANA-3-A"
VENTA-2025-0183,CLI-2025,clients-2025,SKU-A37A3F0DA8,Vehiculo Constructor 677-42A,,Juguetes,Unidad,1.0,15.0,15.0,11.0,4.0,SEMANA-1-A
VENTA-2025-0184,CLI-2025,clients-2025,SKU-A39A5CB534,Botones,,,Unidad,1.0,1.0,1.0,0.6667,0.3333,SEMANA-1-A
VENTA-2025-0185,CLI-2025,clients-2025,SKU-A47A5E460A,Papel microporoso escarchado,,Papel,Unidad,28.0,5.0,140.0,70.8,69.2,"SEMANA-2-A,SEMANA-2-B,SEMANA-3-A,SEMANA-3-B"
VENTA-2025-0186,CLI-2025,clients-2025,SKU-A4C46F4DA5,Papel microporoso liso,,,unidad,5.0,4.0,20.0,7.8333,12.1667,SEMANA-2-A
VENTA-2025-0187,CLI-2025,clients-2025,SKU-A744CA3157,Cinta Maskin shurtaple 1*15,,Cinta,Unidad,1.0,2.5,2.5,1.5,1.0,SEMANA-1-B
VENTA-2025-0188,CLI-2025,clients-2025,SKU-A8C9B88E81,micas con diseño,,,unidad,1.0,4.0,4.0,3.0,1.0,SEMANA-2-A
VENTA-2025-0189,CLI-2025,clients-2025,SKU-A95695902B,Folder Vinifan,,Folder,Unidad,4.0,5.0,20.0,10.68,9.32,SEMANA-1-A
VENTA-2025-0190,CLI-2025,clients-2025,SKU-AB58B8B259,Reglas de 30 cm,Artesco,Regla,Unidad,1.0,1.5,1.5,0.6408,0.8592,SEMANA-3-A
VENTA-2025-0191,CLI-2025,clients-2025,SKU-B0946D98AA,Tijera escolar,Layconsa,Tijera,unidad,9.0,3.0,27.0,15.0,12.0,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0192,CLI-2025,clients-2025,SKU-B1B6F52169,papel toalla,,,unidad,8.0,4.0,32.0,20.0,12.0,SEMANA-1-A
VENTA-2025-0193,CLI-2025,clients-2025,SKU-B2904A3F21,serpentina,,,unidad,5.0,1.5,7.5,5.0,2.5,SEMANA-1-A
VENTA-2025-0194,CLI-2025,clients-2025,SKU-B2F5C02F79,Lapicero a color x 12 und,Oval,Lapicero,unidad,1.0,8.0,8.0,4.0,4.0,SEMANA-1-A
VENTA-2025-0195,CLI-2025,clients-2025,SKU-B3C78D2293,Escobilla Grande de Zapato,,,Unidad,2.0,3.5,7.0,2.6,4.4,SEMANA-1-A
